,index,id,lat,lon,name
0,0,288370109,36.7433762,2.9832299,Aïn Allah
1,1,288379099,36.7446701,2.9965351,Oued Roumane
2,2,288379250,36.7400137,2.9943549,Chemin Mellali Hocine
3,3,288379311,36.7351909,2.9931762,Lotissement Takarli Abdelghani
4,4,288379693,36.735105,2.9931528,DZ LYNX SYSTEMS
5,5,313407116,36.7453668,2.998791,Rue Ahmed Kermiche
6,6,313407118,36.7453323,3.0007061,Chemin Aïmeur
7,7,314743603,36.7283831,3.0048524,AADL 1839 lgts
8,8,347436873,36.7333275,3.0104316,Kadous
9,9,347436879,36.7319101,3.0086381,Chemin Benamara Abdelkader
10,10,347438479,36.7288303,3.0043796,Sebala
11,11,347439359,36.7414805,2.997236,Rue Boudjemaa Khalil
12,12,347439938,36.7427603,2.9834834,El Achour ⵍⴰⵛⵓⵔ العاشور
13,13,347440394,36.7317372,2.9885337,Rue du Bassin
14,14,348422955,36.744101,2.9919146,Zone Industrielle El Achour
15,15,348427222,36.729823,2.9919705,Centre de cardiologie El Achour
16,16,351090210,36.7269009,3.0089202,Résidence Affak
17,17,351096740,36.7376372,2.998606,Cité du 20 Aout
18,18,351098250,36.7335234,3.0002008,C66
19,19,351100002,36.7400512,2.9975258,Rue Sidi Embarek
20,20,502553144,36.7393185,2.9959513,Résidence URBA 2000
21,21,536293293,36.7369262,2.9870954,Etablissement des Editions Populaire de l'Armée
